dog_id,shelter_started_at,home_started_at,back_shelter_at,пристройство,возврат
16088,2023-10-09,2025-05-19,,сообщение 2025-05-19: Треф поехал домой,
15099,2021-05-31,2026-04-18,2026-04-27,сообщение 2026-04-18: Латте поехал домой,сообщение 2026-04-27: Латте снова в приюте Латте #шереметьевский #приют #шереметьевскийприют #вдобрыеруки #приютдляживотных #взрослаясобака #песищетхозяина #помощьживотным #собакаизприюта #возьмисприюта #благотворительность #репост #приютмосква #собакаищетдом #ищудом #друг #вдобрыерукимосква #возьмисо ...
16141,2023-12-28,,,,
16374,2025-05-26,2025-06-24,2026-04-14,сообщение 2025-06-24: Оскар поехал домой,сообщение 2026-04-14: Оскара сегодня вернули в приют. Причина неизвестна
15550,2022-10-20,2026-04-18,,сообщение 2026-04-18: Такеши поехал домой,
16412,2025-12-13,2026-03-22,,сообщение 2026-03-22: Абелла поехала домой,
14438,2020-09-15,2021-10-30,2023-12-29,сообщение 2021-10-30: РИКАРДО поехал домой,сообщение 2023-12-29: Рикардо вернулся в приют
16058,2023-08-14,2026-04-24,,сообщение 2026-04-24: Сладкий пирожок поехал домой,
16022,2023-06-30,2024-03-30,2024-04-01,сообщение 2024-03-30: Бутуз поехал домой,
16022,2023-06-30,2025-01-04,2025-01-08,сообщение 2025-01-04: Бутуз поехал домой,"сообщение 2025-01-08: Бутуз вернулся в приют( так что продолжаем ему искать дом. Очень ждем и надеемся, что короля заметят, и заберут в свое королевство"
15829,2022-11-19,,,,
16243,2024-05-12,2024-06-09,,сообщение 2024-06-09: Орион поехал домой,
16243,2024-05-12,2025-08-13,,сообщение 2025-08-13: Орион поехал домой,
14433,2020-03-30,2020-05-31,2023-10-21,"сообщение 2020-05-31: Винсент поехал домой. Удачи, малыш",сообщение 2023-10-21: спустя 3 года дома вернули в приют.
16154,2024-01-16,,,,
8886,2015-04-26,2015-08-22,2015-08-31,"сообщение 2015-08-22: (ИСПЫТАТЕЛЬНЫЙ) Горец сегодня уехал домой *KISSING* очень сильно укачало в машине, истошнился весь.","сообщение 2015-08-31: Имя двоякое, всяких людей слабохарактерных привлекает звучностью и силой, а в то же время знакомые русскому уху аллитерации никто не отменял :'( Безумно жаль, что снова в приюте!"
15350,2021-11-08,,,,
16118,2023-11-25,,,,
14133,2023-01-01,,,,
15922,2023-02-27,,,,
15936,2023-03-13,,,,
16265,2024-06-07,2026-04-18,,сообщение 2026-04-18: Рассел поехал домой,
14039,2023-07-02,2026-03-29,,заголовок темы: РИДДИК - ЧЕРНЫЙ КРАСАВЧИК! СЫН РИЦЫ! НУЖЕН ДОМ!!! В ПРИЮТЕ! (ИСПЫТАТЕЛЬНЫЙ с 29.03),
16190,2024-02-28,,,,
15317,2023-01-01,,,,
16201,2024-03-15,,,,
13149,2018-05-09,2021-06-12,,сообщение 2021-06-12: Юкка поехала домой,
13149,2018-05-09,2023-01-18,2023-01-19,сообщение 2023-01-18: Юкка поехала домой,сообщение 2023-01-19: Возврат.
13149,2018-05-09,2024-01-21,,сообщение 2024-01-21: Юкка поехала домой,
14611,2020-07-06,2020-09-10,,сообщение 2020-09-10: ЯРИЛ поехал домой,
14611,2020-07-06,2023-01-31,,сообщение 2023-01-31: Мальчишка Ярил поехал домой! Удачи!,
14611,2020-07-06,2023-07-10,2023-09-08,"сообщение 2023-07-10: Ярил уже полгода вроде как уехал домой,а почему-то не в теме пристроенных",сообщение 2023-09-08: Волею судьбы Яричка опять в приюте.
14909,2021-01-22,2021-03-30,,"сообщение 2021-03-30: Красавчик Люцерн поехал домой Дай Бог, чтобы всë сложилось",
14909,2021-01-22,2021-05-16,2021-06-23,сообщение 2021-05-16: Люцик поехал домой￼,сообщение 2021-06-23: Неужели проблема со здоровьем причина возврата.
14909,2021-01-22,2021-08-24,,сообщение 2021-08-24: Люцерн поехал домой. Будем тихо надеяться (громко уже страшновато..).. Пусть получится у ребенка ))),
