name,shelter_started_at,home_started_at,back_shelter_at,link,поступление,пристройство,возврат
ТРЕФ,2023-10-09,2025-05-19,,https://helpdog.ru/forum/threads/tref-tuapse-staff-privjazan-na-cep-v-pljazhnom-tualete.16088/,сообщение 2023-10-08: Расход Обработка при поступлении - 800 Передержка с 09.10.23 по 31.,сообщение 2025-05-19: Треф поехал домой,
ЛАТТЕ,2021-05-31,2026-04-18,2026-04-27,https://helpdog.ru/forum/threads/latte-lytkino-broshennyj-pitbul-nuzhny-finkuratory.15099/,сообщение 2021-05-30: Передержка с 31.05.21 по 31.,сообщение 2026-04-18: Латте поехал домой,сообщение 2026-04-27: Латте снова в приюте Латте #шереметьевский #приют #шереметьевскийприют #вдобрыеруки #приютдляживотных #взрослаясобака #песищетхозяина #помощьживотным #собакаизприюта #возьмисприюта #благотворительность #репост #приютмосква #собакаищетдом #ищудом #друг #вдобрыерукимосква #возьмисо ...
ВОКЕР,2023-12-28,,,https://helpdog.ru/forum/threads/voker-vladikavkaz-neschastnyj-perebityj-malysh-sos.16141/,сообщение 2023-12-29: 16356/#post-725065 Итого: 105617р Расход Обработка при поступлении - 800 Передержка с 28.12.23 по 31.,,
ОСКАР,2025-05-26,2025-06-24,2026-04-14,https://helpdog.ru/forum/threads/oskar-kurskaja-oblast-xozjain-pogib.16374/,сообщение 2025-05-27: Передержка с 26.05.25 по 31.,сообщение 2025-06-24: Оскар поехал домой,сообщение 2026-04-14: Оскара сегодня вернули в приют. Причина неизвестна
ТАКЕШИ,2022-10-20,2026-04-18,,https://helpdog.ru/forum/threads/takeshi-turcija-schenok-ischet-dom-ispytatelnyj-s-18-04.15550/,сообщение 2022-03-07: Передержка с 20.10.22 по 31.,сообщение 2026-04-18: Такеши поехал домой,
АБЕЛЛА,2025-12-13,2026-03-22,,https://helpdog.ru/forum/threads/abella-skitalas-po-ulicam-ispytatelnyj-s-22-03.16412/,сообщение 2025-12-18: 26 - 1000 альфа банк Надежда Чистякова (ФК) Итого: 57900₽ Расход Обработка при поступлении - 800₽ Передержка с 13.12.25 по 31.,сообщение 2026-03-22: Абелла поехала домой,
РИКАРДО,2020-09-15,2021-10-30,2023-12-29,https://helpdog.ru/forum/threads/rikardo-1-god-i-uzhe-ne-nuzhen-prichina-pereezd-v-druguju-stranu.14438/,сообщение 2020-04-01: Передержка с 15.09.20 по 30.,сообщение 2021-10-30: РИКАРДО поехал домой,сообщение 2023-12-29: Рикардо вернулся в приют
ТОРС,2023-08-14,2026-04-24,,https://helpdog.ru/forum/threads/tors-vladimir-otkaznik-ispytatelnyj-s-24-04.16058/,сообщение 2023-08-24: Расход Обработка при поступлении - 800 Передержка с 14.08.23 по 31.,сообщение 2026-04-24: Сладкий пирожок поехал домой,
БУТУЗ,2023-06-30,2024-03-30,2024-04-01,https://helpdog.ru/forum/threads/butuz-vsju-zhizn-na-cepi-nuzhny-finkuratory-v-prijute.16022/,сообщение 2023-07-02: 26 - 3000 ( в составе 29000) на альфа банк ТГ от Businda Gold ( фк Goldananastaisha) Итого: 269408р Расход Обработка при поступлении -800 Передержка с 30.06.23 по 31.,сообщение 2024-03-30: Бутуз поехал домой,
БУТУЗ,2023-06-30,2025-01-04,2025-01-08,https://helpdog.ru/forum/threads/butuz-vsju-zhizn-na-cepi-nuzhny-finkuratory-v-prijute.16022/,сообщение 2023-07-02: 26 - 3000 ( в составе 29000) на альфа банк ТГ от Businda Gold ( фк Goldananastaisha) Итого: 269408р Расход Обработка при поступлении -800 Передержка с 30.06.23 по 31.,сообщение 2025-01-04: Бутуз поехал домой,"сообщение 2025-01-08: Бутуз вернулся в приют( так что продолжаем ему искать дом. Очень ждем и надеемся, что короля заметят, и заберут в свое королевство"
МАРФИК,2022-11-19,,,https://helpdog.ru/forum/threads/marfik-na-stojanku-pribilsja-staff-marfino-odincovskogo-rajona.15829/,сообщение 2022-11-19: Передержка с 19.11.22 по 30.,,
ОРИОН,2024-05-12,2024-06-09,,https://helpdog.ru/forum/threads/orion-orexovo-zuevo-nuzhny-finkuratory.16243/,сообщение 2024-05-12: Расход Обработка при поступлении - 800р Передержка с 12.05.24 по 31.,сообщение 2024-06-09: Орион поехал домой,
ОРИОН,2024-05-12,2025-08-13,,https://helpdog.ru/forum/threads/orion-orexovo-zuevo-nuzhny-finkuratory.16243/,сообщение 2024-05-12: Расход Обработка при поступлении - 800р Передержка с 12.05.24 по 31.,сообщение 2025-08-13: Орион поехал домой,
ВИНСЕНТ,2020-03-30,2020-05-31,2023-10-21,https://helpdog.ru/forum/threads/vinsent-neschastnyj-malysh-iz-vladikavkaza-ochen-nuzhna-pomosch-finkuratorov-snova-v-prijute.14433/,сообщение 2020-03-28: ПРИЕХАЛ 30.,"сообщение 2020-05-31: Винсент поехал домой. Удачи, малыш",сообщение 2023-10-21: спустя 3 года дома вернули в приют.
ТАШКЕНТ,2024-01-16,,,https://helpdog.ru/forum/threads/tashkent-nuzhny-finkuratory.16154/,сообщение 2024-01-17: Расход Обработка при поступлении - 800 Передержка с 16.01.24 по 31.,,
ГОРЕЦ,2015-04-26,2015-08-22,2015-08-31,https://helpdog.ru/forum/threads/gorec-pojman-staff-v-solnechn-om-r-ne-2017-v-prijute.8886/,сообщение 2015-04-26: Расход Передержка с 26.04.15 по 30.,"сообщение 2015-08-22: (ИСПЫТАТЕЛЬНЫЙ) Горец сегодня уехал домой *KISSING* очень сильно укачало в машине, истошнился весь.","сообщение 2015-08-31: Имя двоякое, всяких людей слабохарактерных привлекает звучностью и силой, а в то же время знакомые русскому уху аллитерации никто не отменял :'( Безумно жаль, что снова в приюте!"
ГРЕЙСОН,2021-11-08,,,https://helpdog.ru/forum/threads/grejson-groznyj-razorvannyj-staff-palevogo-cveta.15350/,сообщение 2021-11-08: Расход Обработка при поступлении - 800 Передержка с 08.11.21 по 30.,,
ЧЕРНИГОВ,2023-11-25,,,https://helpdog.ru/forum/threads/chernigov-naberezhnye-chelny-spasli-ot-otstrela-godovalogo-pita.16118/,сообщение 2023-11-27: Расход Обработка при поступлении - 800 Передержка с 25.11.23 по 30.,,
ЛИККИ,2023-01-01,,,https://helpdog.ru/forum/threads/likki-pitbul-xozjain-otvel-ego-v-les-tam-on-i-zhivet.14133/,сообщение 2019-10-15: Передержка с 01.01.23 по 31.,,
ДЖАСПЕР,2023-02-27,,,https://helpdog.ru/forum/threads/dzhasper-dolgoprudnyj-privjazannyj-staff-nuzhna-pomosch.15922/,сообщение 2023-02-27: Расход Обработка при поступлении - 800 Передержка с 27.02.23 по 28.,,
ГЕОРГ,2023-03-13,,,https://helpdog.ru/forum/threads/georg-goljanovo-vystavili-na-ulicu-s-veschami.15936/,сообщение 2023-03-14: ФИНАНСИРОВАНИЕ Финкураторы: Итого Приход Итого: Расход Обработка при поступлении - 800 Передержка с 13.03.23 по 31.,,
РАССЕЛ,2024-06-07,2026-04-18,,https://helpdog.ru/forum/threads/rassel-rostov-nuzhny-finkuratory-ispytatelnyj-s-18-04.16265/,сообщение 2024-06-11: Передержка с 07.06.24 по 30.,сообщение 2026-04-18: Рассел поехал домой,
РИДДИК,2023-07-02,2026-03-29,,https://helpdog.ru/forum/threads/riddik-chernyj-krasavchik-syn-ricy-nuzhen-dom-v-prijute-ispytatelnyj-s-29-03.14039/,сообщение 2019-08-18: Передержка с 02.07.23 по 31.,заголовок темы: РИДДИК - ЧЕРНЫЙ КРАСАВЧИК! СЫН РИЦЫ! НУЖЕН ДОМ!!! В ПРИЮТЕ! (ИСПЫТАТЕЛЬНЫЙ с 29.03),
ЯЦИК,2024-02-28,,,https://helpdog.ru/forum/threads/jacik-jakutsk-nuzhny-finkuratory.16190/,сообщение 2024-02-28: Передержка с 28.02.24 по 29.,,
ТАНИТА,2023-01-01,,,https://helpdog.ru/forum/threads/tanita-devochka-iz-tureckogo-vivarija.15317/,сообщение 2021-10-15: Расход Передержка с 01.01.23 по 31.,,
РУЛЛА,2024-03-15,,,https://helpdog.ru/forum/threads/rulla-najdena-v-ruzskom-rajone.16201/,сообщение 2024-03-18: Передержка с 15.03.24 по 31.,,
