name,link,поступление,id,последнее_сообщение
ТРЕФ,https://helpdog.ru/forum/threads/tref-tuapse-staff-privjazan-na-cep-v-pljazhnom-tualete.16088/,сообщение 2023-10-08: Расход Обработка при поступлении - 800 Передержка с 09.10.23 по 31.,16088,https://helpdog.ru/forum/threads/tref-tuapse-staff-privjazan-na-cep-v-pljazhnom-tualete.16088/page-6
ЛАТТЕ,https://helpdog.ru/forum/threads/latte-lytkino-broshennyj-pitbul-nuzhny-finkuratory.15099/,сообщение 2021-05-30: Передержка с 31.05.21 по 31.,15099,https://helpdog.ru/forum/threads/latte-lytkino-broshennyj-pitbul-nuzhny-finkuratory.15099/page-6
ВОКЕР,https://helpdog.ru/forum/threads/voker-vladikavkaz-neschastnyj-perebityj-malysh-sos.16141/,сообщение 2023-12-29: 16356/#post-725065 Итого: 105617р Расход Обработка при поступлении - 800 Передержка с 28.12.23 по 31.,16141,https://helpdog.ru/forum/threads/voker-vladikavkaz-neschastnyj-perebityj-malysh-sos.16141/page-3
ОСКАР,https://helpdog.ru/forum/threads/oskar-kurskaja-oblast-xozjain-pogib.16374/,сообщение 2025-05-27: Передержка с 26.05.25 по 31.,16374,https://helpdog.ru/forum/threads/oskar-kurskaja-oblast-xozjain-pogib.16374/
ТАКЕШИ,https://helpdog.ru/forum/threads/takeshi-turcija-schenok-ischet-dom-ispytatelnyj-s-18-04.15550/,сообщение 2022-03-07: Передержка с 20.10.22 по 31.,15550,https://helpdog.ru/forum/threads/takeshi-turcija-schenok-ischet-dom-ispytatelnyj-s-18-04.15550/page-5
АБЕЛЛА,https://helpdog.ru/forum/threads/abella-skitalas-po-ulicam-ispytatelnyj-s-22-03.16412/,сообщение 2025-12-18: 26 - 1000 альфа банк Надежда Чистякова (ФК) Итого: 57900₽ Расход Обработка при поступлении - 800₽ Передержка с 13.12.25 по 31.,16412,https://helpdog.ru/forum/threads/abella-skitalas-po-ulicam-ispytatelnyj-s-22-03.16412/page-2
РИКАРДО,https://helpdog.ru/forum/threads/rikardo-1-god-i-uzhe-ne-nuzhen-prichina-pereezd-v-druguju-stranu.14438/,сообщение 2020-04-01: Передержка с 15.09.20 по 30.,14438,https://helpdog.ru/forum/threads/rikardo-1-god-i-uzhe-ne-nuzhen-prichina-pereezd-v-druguju-stranu.14438/page-7
ТОРС,https://helpdog.ru/forum/threads/tors-vladimir-otkaznik-ispytatelnyj-s-24-04.16058/,сообщение 2023-08-24: Расход Обработка при поступлении - 800 Передержка с 14.08.23 по 31.,16058,https://helpdog.ru/forum/threads/tors-vladimir-otkaznik-ispytatelnyj-s-24-04.16058/page-3
БУТУЗ,https://helpdog.ru/forum/threads/butuz-vsju-zhizn-na-cepi-nuzhny-finkuratory-v-prijute.16022/,сообщение 2023-07-02: 26 - 3000 ( в составе 29000) на альфа банк ТГ от Businda Gold ( фк Goldananastaisha) Итого: 269408р Расход Обработка при поступлении -800 Передержка с 30.06.23 по 31.,16022,https://helpdog.ru/forum/threads/butuz-vsju-zhizn-na-cepi-nuzhny-finkuratory-v-prijute.16022/page-13
МАРФИК,https://helpdog.ru/forum/threads/marfik-na-stojanku-pribilsja-staff-marfino-odincovskogo-rajona.15829/,сообщение 2022-11-19: Передержка с 19.11.22 по 30.,15829,https://helpdog.ru/forum/threads/marfik-na-stojanku-pribilsja-staff-marfino-odincovskogo-rajona.15829/page-7
ОРИОН,https://helpdog.ru/forum/threads/orion-orexovo-zuevo-nuzhny-finkuratory.16243/,сообщение 2024-05-12: Расход Обработка при поступлении - 800р Передержка с 12.05.24 по 31.,16243,https://helpdog.ru/forum/threads/orion-orexovo-zuevo-nuzhny-finkuratory.16243/page-3
ВИНСЕНТ,https://helpdog.ru/forum/threads/vinsent-neschastnyj-malysh-iz-vladikavkaza-ochen-nuzhna-pomosch-finkuratorov-snova-v-prijute.14433/,сообщение 2020-03-28: ПРИЕХАЛ 30.,14433,https://helpdog.ru/forum/threads/vinsent-neschastnyj-malysh-iz-vladikavkaza-ochen-nuzhna-pomosch-finkuratorov-snova-v-prijute.14433/page-12
ТАШКЕНТ,https://helpdog.ru/forum/threads/tashkent-nuzhny-finkuratory.16154/,сообщение 2024-01-17: Расход Обработка при поступлении - 800 Передержка с 16.01.24 по 31.,16154,https://helpdog.ru/forum/threads/tashkent-nuzhny-finkuratory.16154/page-6
ГОРЕЦ,https://helpdog.ru/forum/threads/gorec-pojman-staff-v-solnechn-om-r-ne-2017-v-prijute.8886/,сообщение 2015-04-26: Расход Передержка с 26.04.15 по 30.,8886,https://helpdog.ru/forum/threads/gorec-pojman-staff-v-solnechn-om-r-ne-2017-v-prijute.8886/page-14
ГРЕЙСОН,https://helpdog.ru/forum/threads/grejson-groznyj-razorvannyj-staff-palevogo-cveta.15350/,сообщение 2021-11-08: Расход Обработка при поступлении - 800 Передержка с 08.11.21 по 30.,15350,https://helpdog.ru/forum/threads/grejson-groznyj-razorvannyj-staff-palevogo-cveta.15350/page-9
