trainability,stranger_directed_aggression,owner_directed_aggression,dog_directed_aggression,stranger_directed_fear,nonsocial_fear,dog_directed_fear,touch_sensitivity,separation_related,excitability,attachment,chasing,energy,cluster_gmm,gmm_max_proba
1.375,3.0,0.1666666666666666,1.0,3.5,1.8333333333333333,0.5,3.3333333333333335,0.0,3.0,3.1666666666666665,4.0,3.3333333333333335,5,1.0
1.875,2.3333333333333335,1.0,2.3333333333333335,1.0,0.6666666666666666,2.0,0.6666666666666666,1.5,2.3333333333333335,2.0,3.3333333333333335,0.3333333333333333,5,0.9999998190612608
1.625,2.1666666666666665,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,1.3333333333333333,1.375,2.6666666666666665,3.3333333333333335,1.0,0.6666666666666666,5,0.9838723293428762
1.625,1.5,1.1666666666666667,0.3333333333333333,0.75,0.1666666666666666,0.5,1.0,0.25,2.8333333333333335,3.1666666666666665,4.0,1.6666666666666667,5,0.9997362278837998
1.375,1.3333333333333333,0.0,2.0,2.25,1.0,0.0,0.0,0.0,1.5,2.1666666666666665,0.6666666666666666,0.5,1,0.9999729798363798
1.625,1.5,0.0,0.3333333333333333,1.5,0.6666666666666666,0.0,0.5,0.0,2.0,1.1666666666666667,2.6666666666666665,1.0,1,0.9999389396522878
1.625,1.3333333333333333,0.3333333333333333,3.0,0.75,1.3333333333333333,1.5,0.0,0.0,1.8333333333333333,3.5,2.0,2.0,3,0.9834356481544586
1.125,1.3333333333333333,0.0,2.0,0.75,2.3333333333333335,0.0,0.5,1.0,1.0,2.0,2.5,0.3333333333333333,1,0.9999672694326484
1.0,1.3333333333333333,0.1666666666666666,1.3333333333333333,1.0,1.1666666666666667,0.5,0.0,1.0,3.1666666666666665,1.5,4.0,1.3333333333333333,3,0.9961819354521922
1.625,1.0,0.0,3.6666666666666665,0.0,0.3333333333333333,0.0,0.0,0.25,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,4,0.6311697037400602
